Variável,Valor
"L[6,9]",0.0
"L[7,0]",0.0
"L[7,1]",0.0
"L[7,2]",0.0
"L[7,3]",0.0
"L[7,4]",0.0
"L[7,5]",0.0
"L[7,6]",0.0
"L[7,7]",0.0
"L[7,8]",0.0
"L[7,9]",0.0
"L[8,0]",0.0
"L[8,1]",0.0
"L[8,2]",0.0
"L[8,3]",0.0
"L[8,4]",0.0
"L[8,5]",0.0
"L[8,6]",0.0
"L[8,7]",0.0
"L[8,8]",0.0
"L[8,9]",0.0
"L[9,0]",0.0
"L[9,1]",0.0
"L[9,2]",0.0
"L[9,3]",0.0
"L[9,4]",0.0
"L[9,5]",0.0
"L[9,6]",0.0
"L[9,7]",0.0
"L[9,8]",0.0
"L[9,9]",0.0
"P[0,0]",0.0
"P[0,1]",0.0
"P[0,2]",0.0
"P[0,3]",0.0
"P[0,4]",0.0
"P[0,5]",0.0
"P[0,6]",0.0
"P[0,7]",0.0
"P[0,8]",0.0
"P[0,9]",0.0
"P[1,0]",0.0
"P[1,1]",0.0
"P[1,2]",0.0
"P[1,3]",0.0
"P[1,4]",0.0
"P[1,5]",0.0
"P[1,6]",0.0
"P[1,7]",0.0
"P[1,8]",0.0
"P[1,9]",0.0
"P[2,0]",394.0698207253266
"P[2,1]",387.74539005865006
"P[2,2]",292.2041736774888
"P[2,3]",294.19471749678996
"P[2,4]",322.1834154871962
"P[2,5]",376.7894821912016
"P[2,6]",367.15997773409987
"P[2,7]",345.9088568392225
"P[2,8]",364.5425105454821
"P[2,9]",308.22508733527155
"P[3,0]",0.0
"P[3,1]",0.0
"P[3,2]",0.0
"P[3,3]",0.0
"P[3,4]",0.0
"P[3,5]",0.0
"P[3,6]",0.0
"P[3,7]",0.0
"P[3,8]",0.0
"P[3,9]",0.0
"P[4,0]",0.0
"P[4,1]",0.0
"P[4,2]",0.0
"P[4,3]",0.0
"P[4,4]",0.0
"P[4,5]",0.0
"P[4,6]",0.0
"P[4,7]",0.0
"P[4,8]",0.0
"P[4,9]",0.0
"P[5,0]",0.0
"P[5,1]",0.0
"P[5,2]",0.0
"P[5,3]",0.0
